,AFFGEOID,count_x,count_y,count_1,count_2,count
527,1500000US060372013012,13,23,19,20,14
528,1500000US060372032001,13,16,20,11,7
529,1500000US060371046101,13,5,6,1,10
530,1500000US060371221221,13,8,17,18,13
531,1500000US060371276052,13,10,6,11,14
532,1500000US060371397012,13,4,12,6,3
533,1500000US060371437001,13,6,16,16,10
534,1500000US060372392023,13,15,9,13,4
535,1500000US060372948102,13,7,11,18,6
536,1500000US060372134012,13,6,5,8,8
537,1500000US060372091031,13,24,14,20,17
538,1500000US060371032002,13,11,5,4,5
539,1500000US060371041081,13,8,12,8,10
540,1500000US060371175301,13,9,8,10,2
541,1500000US060372015032,13,5,8,9,17
542,1500000US060371413021,13,6,8,6,4
543,1500000US060371201031,13,16,20,14,15
544,1500000US060372084012,13,9,10,20,26
545,1500000US060372244202,13,13,12,8,6
546,1500000US060372190101,12,9,15,6,19
547,1500000US060372198003,12,9,12,10,5
548,1500000US060372083021,12,5,11,6,4
549,1500000US060372972022,12,22,9,8,3
550,1500000US060372044101,12,16,16,9,3
551,1500000US060372327002,12,12,18,11,18
552,1500000US060371899041,12,13,13,11,11
553,1500000US060372193002,12,13,14,12,5
554,1500000US060371154031,12,16,15,13,7
555,1500000US060372396012,12,13,21,15,22
556,1500000US060371282102,12,11,6,6,5
557,1500000US060372943021,12,11,8,11,11
558,1500000US060372199013,12,4,10,12,14
559,1500000US060371154041,12,10,6,8,4
560,1500000US060372431003,12,11,18,10,7
561,1500000US060371287022,12,16,15,17,3
562,1500000US060372378001,12,29,16,12,14
563,1500000US060372677002,12,16,11,5,8
564,1500000US060372098101,12,9,7,10,7
565,1500000US060371232041,12,11,12,11,7
566,1500000US060372115002,12,9,8,4,5
567,1500000US060372133102,12,12,7,13,11
568,1500000US060372118022,12,14,18,15,13
569,1500000US060372182201,12,7,5,9,9
570,1500000US060372289001,12,12,12,8,11
571,1500000US060372211202,12,7,6,9,8
572,1500000US060372201001,12,13,6,9,6
573,1500000US060372321102,12,28,20,27,20
574,1500000US060371993001,12,5,7,7,5
575,1500000US060371235102,12,2,1,4,5
576,1500000US060372349023,12,23,29,24,19
577,1500000US060371279102,12,14,14,9,12
578,1500000US060371235201,12,11,15,12,15
579,1500000US060372126202,12,7,14,8,9
580,1500000US060372047003,12,11,10,10,5
581,1500000US060372946101,12,17,11,7,6
582,1500000US060371375012,12,7,4,6,7
583,1500000US060372185002,12,7,4,5,6
584,1500000US060371286012,12,10,5,9,10
585,1500000US060372047001,12,11,21,13,15
586,1500000US060372042001,12,5,11,3,9
587,1500000US060371200202,12,5,8,10,6
588,1500000US060372285001,12,15,8,10,11
589,1500000US060371912012,12,16,25,19,21
590,1500000US060372037201,12,15,10,15,13
591,1500000US060372051201,12,9,12,7,11
